Cold Passes,Hot Passes,Tube Pattern,Tubes,Baffles,Length,Mdot cold,Mdot hot,Qdot,Effectiveness,Mass,Total Tube Length
1,1,Triangle,13,8,0.2678,0.5892,0.4778,12297,0.1446,1.095,3.4814
1,1,Square,13,8,0.2678,0.5885,0.4778,12314,0.145,1.095,3.4814
1,2,Triangle,"6,6",8,0.2877,0.5928,0.4296,14126,0.211,1.1,3.4524
1,2,Square,"6,6",8,0.2877,0.5928,0.4296,14123,0.2109,1.1,3.4524
1,3,Triangle,"4,5,5",8,0.247,0.5818,0.3685,14328,0.2524,1.0791,3.458
1,3,Square,"5,5,5",8,0.232,0.5755,0.3855,14336,0.2414,1.0759,3.48
2,2,Triangle,"5,6","8,8",0.29,0.5908,0.4174,13896,0.2106,1.0849,3.19
2,2,Square,"6,6","8,7",0.2766,0.5902,0.4304,13901,0.2044,1.1,3.3192
2,4,Triangle,"4,4,4,4","7,7",0.2173,0.5714,0.3209,14136,0.2828,1.091,3.4768
2,4,Square,"4,4,4,4","7,7",0.2173,0.5728,0.3209,14103,0.2816,1.091,3.4768
